"Order Golden Libodo Vital:","Book Golden Libodo Vital:"
"Order Golden Libido Active:","Book Golden Libido Active:"
"Your name:","Dit navn:"
"E-mail:","E-mail:"
"Mobile number:","mobilnummer:"
"Address:","Adresse:"
"Country","Vælg land"
"select country","  "
"Zip. / Location:","Postnummer / Sted:"
"Zip:","postnummer:"
"Qty:","Stk:"
"Subtotal (Free shipping):","Totalsum (Fraktfritt):"
"Use this address for delivery.","Bruk denne adressen til levering."
"Newsletter ","Motta nyhetsbrev"
"Sold by subscription that provides","Selges med abonnement som gir"
"monthly shipments. No lock-in.","m&aring;nedlige forsendelser. Ingen bindingstid."
"Order","Book"
"About Us","Om os"
"Customer Service","Kundeservice"
"Privacy Policy","Privacy Policy"
"Home","Startside"
"Checkout","Kassen"
"Log In","Log ind"
"You have no items in your shopping cart.","Du har ingen varer i din indkøbskurv."
"I confirm that I am at least 18 years and that I have read and accepted the Natural Pharma Group Ltd conditions.","Jeg bekræfter, at jeg er mindst 18 år, og at jeg har læst og accepteret Natural Pharma Group Ltd forhold."
"Order","Bestil"
"(free shipping)","(fri fragt)"
"click here to buy a single product","klik her for at købe et enkelt produkt"
"+ How it works","+ Sådan virker det"
"+ 10 great tips","+ undersøgelser viser"
"+ See the advert","+ Anbefalet brug" 
"Read more","Læs mere"
"Thank you for your order.","Tak for din bestilling."
"add to cart","Bestil nu"
"click here to buy a single product","klik her for at købe et enkelt produkt"


