"Order Golden Libodo Vital:","Bok Golden Libido Vital:"
"Order Golden Libido Active:","Bok Golden Libido Active:"
"Your name:","Ditt namn:"
"E-mail:","E-post:"
"Mobile Number:","mobilnummer:"
"select country"," "
"Address:","Adress:"
"Zip. / Location:","Postnr./Sted:"
"Zip:","postnummer:"
"Country","välj land"
"Qty:","Stk:"
"postnummer:"
"Subtotal (Free shipping):","Totalsum (Fraktfritt):"
"add to cart","Boka nu" 
"Use this address for delivery.","Använd denna adress för leverans"
"Newsletter ","Motta nyhetsbrev"
"Sold by subscription that provides","Säljs av abonnemang som ger"
"monthly shipments. No lock-in.","månatliga försändelser."
"Order","Beställ"
"About Us","Om oss"
"Customer Service","Kundtjänst"
"Privacy Policy","Kundtjänst"
"Home","Hemsida"
"Buy","Köp"
"In stock","i lager"
"Availability","Tillgänglighet"
"I confirm that I am at least 18 years and that I have read and accepted the Natural Pharma Group Ltd conditions.","Jag bekräftar att jag är minst 18 år och att jag har läst och accepterat de naturliga Pharma Group Ltd villkor."
"Order","Beställ"
"(free shipping)","(fri frakt)"
"click here to buy a single product","klicka här för att köpa en enda produkt"
"+ How it works","+ Hur det fungerar"
"+ 10 great tips","+ studier visar"
"+ See the advert","+ Rekommenderad användning" 
"Read more","Läs mer"
"Thank you for your order.","Tack för din beställning."


